Station_ID,Fwy,Dir,Lane_ID,Edge_ID,Distance_m,Reliable
400084,280,S,617235612_0,617235612,1.0,True
400097,85,S,95264953_0,95264953,29.1,True
400185,85,N,1011949889_0,1011949889,3.8,True
400209,85,S,848501101_0,848501101,2.5,True
400429,280,S,850097346_0,850097346,1.9,True
400499,280,N,850098170_0,850098170,2.1,True
400507,85,N,1011949889_0,1011949889,1.4,True
400560,280,N,617284141_0,617284141,5.6,True
400648,85,S,867262165#0_0,867262165#0,2.2,True
400673,280,S,617235612_0,617235612,0.7,True
400677,85,N,848488831_0,848488831,7.0,True
400726,280,N,27828946_0,27828946,5.3,True
400807,280,S,124952159_0,124952159,4.1,True
400823,280,S,736379744#0_0,736379744#0,2.9,True
400828,85,S,867262165#0_0,867262165#0,1.0,True
400952,85,N,95264953_0,95264953,4.9,True
404640,280,S,158623068_0,158623068,0.7,True
407321,85,N,25029707_0,25029707,3.0,True
407331,85,N,951949868_0,951949868,2.1,True
407337,85,N,334904727_0,334904727,1.7,True
407339,85,N,334904727_0,334904727,0.3,True
407341,85,N,25029732_0,25029732,0.7,True
407344,85,N,617235606_0,617235606,0.3,True
407355,85,S,967501777_0,967501777,4.1,True
407364,85,S,848748038_0,848748038,3.5,True
407370,85,S,184867222_0,184867222,4.3,True
407372,85,S,26230999#1_0,26230999#1,2.6,True
407373,85,S,967501777_0,967501777,4.1,True
419057,280,N,850057340_0,850057340,1.9,True
429577,280,N,27828946_0,27828946,0.6,True
429584,280,S,736379744#1_0,736379744#1,4.3,True
429585,280,N,850057341_0,850057341,0.7,True
429980,280,S,8964927#0_0,8964927#0,46.9,True
432136,280,N,850026981_0,850026981,0.7,True
432161,280,S,967501797-AddedOffRampEdge_0,967501797-AddedOffRampEdge,4.7,True
